coverage_wave,ticker,company,exchange,country,region,segment_id,segment,why_core,first_research_question,first_model_driver,leading_indicators,recommended_output,source_pack_start
Wave 1 - AI infrastructure spine,AMD,Advanced Micro Devices,NASDAQ,United States,North America,fabless_compute,Compute / AI / Logic Chips,Main challenger to NVIDIA and Intel across compute.,"AI accelerator share, server CPU share, gross margin path, PC cycle","Datacenter revenue, accelerator ASP, HBM/CoWoS allocation, software/networking attach, cloud capex, product cadence, gross margin by platform.","Hyperscaler capex revisions, AI server lead times, HBM supply contracts, TSMC advanced-node mix, ODM backlog, accelerator benchmark adoption.","AI value-chain source packs, rack-level BOM bridge, bottleneck monitor and first-pass model drivers.",IR filings; last 8 quarters earnings materials; transcript/Q&A; segment/geography split; CIQ market data refresh; latest sell-side debate notes if available
Wave 1 - AI infrastructure spine,INTC,Intel,NASDAQ,United States,North America,foundry_idm,Foundry / IDM Manufacturing,Combines product turnaround and foundry strategic debate.,"18A execution, foundry customer wins, balance sheet, x86 share","Utilization, wafer ASP, node mix, depreciation, capex, customer concentration, geographic capacity, subsidies, advanced packaging attach.","Foundry monthly revenue, smartphone/PC sell-through, cloud ASIC tape-outs, WFE orders, fab utilization, node migration schedules.","AI value-chain source packs, rack-level BOM bridge, bottleneck monitor and first-pass model drivers.",IR filings; last 8 quarters earnings materials; transcript/Q&A; segment/geography split; CIQ market data refresh; latest sell-side debate notes if available
Wave 3 - Cyclical recovery and edge/auto/device beta,QCOM,Qualcomm,NASDAQ,United States,North America,mobile_rf_connectivity,Mobile / RF / Connectivity,Best read-through for smartphone silicon and edge AI.,"Apple modem transition, Android premium mix, auto backlog, PC AI attach","Handset units, premium mix, content per device, Android channel inventory, Apple content share, auto/IoT diversification, RF module integration.","Smartphone sell-through, Taiwan fabless monthly revenue, China Android launch calendar, Apple build plans, distributor inventory, panel shipments.","Inventory-cycle dashboard, auto/industrial recovery tracker and handset/consumer sell-through bridge.",IR filings; last 8 quarters earnings materials; transcript/Q&A; segment/geography split; CIQ market data refresh; latest sell-side debate notes if available
Wave 1 - AI infrastructure spine,MRVL,Marvell Technology,NASDAQ,United States,North America,networking_silicon,Networking Silicon / SerDes / Data Movement,Key bridge between AI custom silicon and optical networking.,"Custom AI ASIC ramp, optical DSP share, carrier weakness, margin recovery","Port-speed transition, switch radix, retimer attach rate, optical DSP ASP, custom silicon wins, cloud capex and AI cluster topology.","800G/1.6T awards, Ethernet vs InfiniBand adoption, hyperscaler network architecture, Arista/Cisco order commentary, optical-module lead times.","AI value-chain source packs, rack-level BOM bridge, bottleneck monitor and first-pass model drivers.",IR filings; last 8 quarters earnings materials; transcript/Q&A; segment/geography split; CIQ market data refresh; latest sell-side debate notes if available
Wave 1 - AI infrastructure spine,LSCC,Lattice Semiconductor,NASDAQ,United States,North America,fabless_compute,Compute / AI / Logic Chips,Small FPGA proxy for embedded control and edge acceleration.,"Industrial inventory, edge AI design wins, competitive pressure","Datacenter revenue, accelerator ASP, HBM/CoWoS allocation, software/networking attach, cloud capex, product cadence, gross margin by platform.","Hyperscaler capex revisions, AI server lead times, HBM supply contracts, TSMC advanced-node mix, ODM backlog, accelerator benchmark adoption.","AI value-chain source packs, rack-level BOM bridge, bottleneck monitor and first-pass model drivers.",IR filings; last 8 quarters earnings materials; transcript/Q&A; segment/geography split; CIQ market data refresh; latest sell-side debate notes if available
Wave 3 - Cyclical recovery and edge/auto/device beta,MCHP,Microchip Technology,NASDAQ,United States,North America,analog_power,Analog / Power / Mixed Signal,Classic broad-based semi cycle indicator.,"Distributor inventory, leverage, industrial recovery, pricing discipline","Industrial/auto inventory, channel sell-through, book-to-bill, utilization, pricing, SiC capacity, AI server power content.","Distributor inventory days, auto production schedules, industrial PMI, EV inverter demand, data-center power density, lead times.","Inventory-cycle dashboard, auto/industrial recovery tracker and handset/consumer sell-through bridge.",IR filings; last 8 quarters earnings materials; transcript/Q&A; segment/geography split; CIQ market data refresh; latest sell-side debate notes if available
Wave 3 - Cyclical recovery and edge/auto/device beta,NXPI,NXP Semiconductors,NASDAQ,Netherlands,Europe,analog_power,Analog / Power / Mixed Signal,Core auto/industrial semiconductor bellwether.,"Auto inventory, China EV mix, MCU pricing, industrial rebound","Industrial/auto inventory, channel sell-through, book-to-bill, utilization, pricing, SiC capacity, AI server power content.","Distributor inventory days, auto production schedules, industrial PMI, EV inverter demand, data-center power density, lead times.","Inventory-cycle dashboard, auto/industrial recovery tracker and handset/consumer sell-through bridge.",IR filings; last 8 quarters earnings materials; transcript/Q&A; segment/geography split; CIQ market data refresh; latest sell-side debate notes if available
Wave 3 - Cyclical recovery and edge/auto/device beta,ON,ON Semiconductor,NASDAQ,United States,North America,analog_power,Analog / Power / Mixed Signal,Important for EV power cycle and industrial power.,"SiC pricing, auto EV demand, utilization, long-term supply agreements","Industrial/auto inventory, channel sell-through, book-to-bill, utilization, pricing, SiC capacity, AI server power content.","Distributor inventory days, auto production schedules, industrial PMI, EV inverter demand, data-center power density, lead times.","Inventory-cycle dashboard, auto/industrial recovery tracker and handset/consumer sell-through bridge.",IR filings; last 8 quarters earnings materials; transcript/Q&A; segment/geography split; CIQ market data refresh; latest sell-side debate notes if available
Wave 3 - Cyclical recovery and edge/auto/device beta,MPWR,Monolithic Power Systems,NASDAQ,United States,North America,analog_power,Analog / Power / Mixed Signal,Best public pure-play for high-end power management.,"AI server power attach, customer concentration, gross margin durability","Industrial/auto inventory, channel sell-through, book-to-bill, utilization, pricing, SiC capacity, AI server power content.","Distributor inventory days, auto production schedules, industrial PMI, EV inverter demand, data-center power density, lead times.","Inventory-cycle dashboard, auto/industrial recovery tracker and handset/consumer sell-through bridge.",IR filings; last 8 quarters earnings materials; transcript/Q&A; segment/geography split; CIQ market data refresh; latest sell-side debate notes if available
Wave 3 - Cyclical recovery and edge/auto/device beta,POWI,Power Integrations,NASDAQ,United States,North America,analog_power,Analog / Power / Mixed Signal,Tracks high-voltage power conversion trends.,"Consumer recovery, GaN adoption, China competition","Industrial/auto inventory, channel sell-through, book-to-bill, utilization, pricing, SiC capacity, AI server power content.","Distributor inventory days, auto production schedules, industrial PMI, EV inverter demand, data-center power density, lead times.","Inventory-cycle dashboard, auto/industrial recovery tracker and handset/consumer sell-through bridge.",IR filings; last 8 quarters earnings materials; transcript/Q&A; segment/geography split; CIQ market data refresh; latest sell-side debate notes if available
Wave 3 - Cyclical recovery and edge/auto/device beta,DIOD,Diodes Incorporated,NASDAQ,United States,North America,analog_power,Analog / Power / Mixed Signal,Mid-cap analog/discrete cycle read-through.,"Industrial recovery, pricing, utilization","Industrial/auto inventory, channel sell-through, book-to-bill, utilization, pricing, SiC capacity, AI server power content.","Distributor inventory days, auto production schedules, industrial PMI, EV inverter demand, data-center power density, lead times.","Inventory-cycle dashboard, auto/industrial recovery tracker and handset/consumer sell-through bridge.",IR filings; last 8 quarters earnings materials; transcript/Q&A; segment/geography split; CIQ market data refresh; latest sell-side debate notes if available
Wave 1 - AI infrastructure spine,MTSI,MACOM Technology Solutions,NASDAQ,United States,North America,networking_silicon,Networking Silicon / SerDes / Data Movement,Important optical semiconductor supplier.,"800G/1.6T optical content, defense cycle, margins","Port-speed transition, switch radix, retimer attach rate, optical DSP ASP, custom silicon wins, cloud capex and AI cluster topology.","800G/1.6T awards, Ethernet vs InfiniBand adoption, hyperscaler network architecture, Arista/Cisco order commentary, optical-module lead times.","AI value-chain source packs, rack-level BOM bridge, bottleneck monitor and first-pass model drivers.",IR filings; last 8 quarters earnings materials; transcript/Q&A; segment/geography split; CIQ market data refresh; latest sell-side debate notes if available
Wave 1 - AI infrastructure spine,CRDO,Credo Technology,NASDAQ,United States,North America,networking_silicon,Networking Silicon / SerDes / Data Movement,Pure-play on AI data movement and high-speed I/O.,"Customer concentration, AEC adoption, hyperscaler ramps","Port-speed transition, switch radix, retimer attach rate, optical DSP ASP, custom silicon wins, cloud capex and AI cluster topology.","800G/1.6T awards, Ethernet vs InfiniBand adoption, hyperscaler network architecture, Arista/Cisco order commentary, optical-module lead times.","AI value-chain source packs, rack-level BOM bridge, bottleneck monitor and first-pass model drivers.",IR filings; last 8 quarters earnings materials; transcript/Q&A; segment/geography split; CIQ market data refresh; latest sell-side debate notes if available
Wave 1 - AI infrastructure spine,ALAB,Astera Labs,NASDAQ,United States,North America,networking_silicon,Networking Silicon / SerDes / Data Movement,High-growth public proxy for AI server connectivity.,"Retimer attach, CXL timing, customer concentration, valuation","Port-speed transition, switch radix, retimer attach rate, optical DSP ASP, custom silicon wins, cloud capex and AI cluster topology.","800G/1.6T awards, Ethernet vs InfiniBand adoption, hyperscaler network architecture, Arista/Cisco order commentary, optical-module lead times.","AI value-chain source packs, rack-level BOM bridge, bottleneck monitor and first-pass model drivers.",IR filings; last 8 quarters earnings materials; transcript/Q&A; segment/geography split; CIQ market data refresh; latest sell-side debate notes if available
Wave 1 - AI infrastructure spine,GFS,GlobalFoundries,NASDAQ,United States,North America,foundry_idm,Foundry / IDM Manufacturing,Core non-leading-edge foundry proxy.,"Utilization, LTAs, auto/industrial recovery, capex returns","Utilization, wafer ASP, node mix, depreciation, capex, customer concentration, geographic capacity, subsidies, advanced packaging attach.","Foundry monthly revenue, smartphone/PC sell-through, cloud ASIC tape-outs, WFE orders, fab utilization, node migration schedules.","AI value-chain source packs, rack-level BOM bridge, bottleneck monitor and first-pass model drivers.",IR filings; last 8 quarters earnings materials; transcript/Q&A; segment/geography split; CIQ market data refresh; latest sell-side debate notes if available
Wave 1 - AI infrastructure spine,SNDK,Sandisk,NASDAQ,United States,North America,memory_storage,Memory / Storage Semiconductors,Core NAND public pure-play after WD separation.,"Post-spin financials, NAND pricing, long-term contracts","DRAM/NAND ASP, bit shipments, capex, inventory days, HBM qualification, enterprise SSD contract mix, storage nearline demand.","Spot/contract memory pricing, memory capex plans, HBM supply agreements, hyperscaler storage orders, China smartphone/PC demand, module channel inventory.","AI value-chain source packs, rack-level BOM bridge, bottleneck monitor and first-pass model drivers.",IR filings; last 8 quarters earnings materials; transcript/Q&A; segment/geography split; CIQ market data refresh; latest sell-side debate notes if available
Wave 1 - AI infrastructure spine,STX,Seagate Technology,NASDAQ,Ireland,Europe,memory_storage,Memory / Storage Semiconductors,HDD cycle proxy for AI data storage.,"HAMR ramp, cloud demand, pricing, gross margin","DRAM/NAND ASP, bit shipments, capex, inventory days, HBM qualification, enterprise SSD contract mix, storage nearline demand.","Spot/contract memory pricing, memory capex plans, HBM supply agreements, hyperscaler storage orders, China smartphone/PC demand, module channel inventory.","AI value-chain source packs, rack-level BOM bridge, bottleneck monitor and first-pass model drivers.",IR filings; last 8 quarters earnings materials; transcript/Q&A; segment/geography split; CIQ market data refresh; latest sell-side debate notes if available
Wave 1 - AI infrastructure spine,MU,Micron Technology,NASDAQ,United States,North America,memory_storage,Memory / Storage Semiconductors,Core US memory cycle and HBM proxy.,"HBM share, capex discipline, NAND recovery, China restrictions","DRAM/NAND ASP, bit shipments, capex, inventory days, HBM qualification, enterprise SSD contract mix, storage nearline demand.","Spot/contract memory pricing, memory capex plans, HBM supply agreements, hyperscaler storage orders, China smartphone/PC demand, module channel inventory.","AI value-chain source packs, rack-level BOM bridge, bottleneck monitor and first-pass model drivers.",IR filings; last 8 quarters earnings materials; transcript/Q&A; segment/geography split; CIQ market data refresh; latest sell-side debate notes if available
Wave 1 - AI infrastructure spine,005930.KS,Samsung Electronics,KRX,South Korea,Asia,memory_storage,Memory / Storage Semiconductors,Critical global memory and foundry competitor.,"HBM catch-up, foundry profitability, memory capex, device cycle","DRAM/NAND ASP, bit shipments, capex, inventory days, HBM qualification, enterprise SSD contract mix, storage nearline demand.","Spot/contract memory pricing, memory capex plans, HBM supply agreements, hyperscaler storage orders, China smartphone/PC demand, module channel inventory.","AI value-chain source packs, rack-level BOM bridge, bottleneck monitor and first-pass model drivers.",IR filings; last 8 quarters earnings materials; transcript/Q&A; segment/geography split; CIQ market data refresh; latest sell-side debate notes if available
Wave 1 - AI infrastructure spine,000660.KS,SK hynix,KRX,South Korea,Asia,memory_storage,Memory / Storage Semiconductors,Most direct public HBM leverage.,"HBM leadership, customer concentration, capex and pricing discipline","DRAM/NAND ASP, bit shipments, capex, inventory days, HBM qualification, enterprise SSD contract mix, storage nearline demand.","Spot/contract memory pricing, memory capex plans, HBM supply agreements, hyperscaler storage orders, China smartphone/PC demand, module channel inventory.","AI value-chain source packs, rack-level BOM bridge, bottleneck monitor and first-pass model drivers.",IR filings; last 8 quarters earnings materials; transcript/Q&A; segment/geography split; CIQ market data refresh; latest sell-side debate notes if available
Wave 1 - AI infrastructure spine,285A.T,Kioxia Holdings,TSE,Japan,Asia,memory_storage,Memory / Storage Semiconductors,Important NAND competitor.,"NAND pricing, capex discipline, Kioxia/WDC JV dynamics","DRAM/NAND ASP, bit shipments, capex, inventory days, HBM qualification, enterprise SSD contract mix, storage nearline demand.","Spot/contract memory pricing, memory capex plans, HBM supply agreements, hyperscaler storage orders, China smartphone/PC demand, module channel inventory.","AI value-chain source packs, rack-level BOM bridge, bottleneck monitor and first-pass model drivers.",IR filings; last 8 quarters earnings materials; transcript/Q&A; segment/geography split; CIQ market data refresh; latest sell-side debate notes if available
Wave 1 - AI infrastructure spine,2408.TW,Nanya Technology,TWSE,Taiwan,Asia,memory_storage,Memory / Storage Semiconductors,Regional DRAM cycle proxy.,"Commodity DRAM cycle, node migration, China/Taiwan supply","DRAM/NAND ASP, bit shipments, capex, inventory days, HBM qualification, enterprise SSD contract mix, storage nearline demand.","Spot/contract memory pricing, memory capex plans, HBM supply agreements, hyperscaler storage orders, China smartphone/PC demand, module channel inventory.","AI value-chain source packs, rack-level BOM bridge, bottleneck monitor and first-pass model drivers.",IR filings; last 8 quarters earnings materials; transcript/Q&A; segment/geography split; CIQ market data refresh; latest sell-side debate notes if available
Wave 1 - AI infrastructure spine,8299.TWO,Phison Electronics,TPEx,Taiwan,Asia,memory_storage,Memory / Storage Semiconductors,Taiwan storage controller leader.,"NAND ASP, controller share, enterprise SSD mix","DRAM/NAND ASP, bit shipments, capex, inventory days, HBM qualification, enterprise SSD contract mix, storage nearline demand.","Spot/contract memory pricing, memory capex plans, HBM supply agreements, hyperscaler storage orders, China smartphone/PC demand, module channel inventory.","AI value-chain source packs, rack-level BOM bridge, bottleneck monitor and first-pass model drivers.",IR filings; last 8 quarters earnings materials; transcript/Q&A; segment/geography split; CIQ market data refresh; latest sell-side debate notes if available
Wave 1 - AI infrastructure spine,688041.SS,Hygon Information Technology,SSE STAR,China,Asia,fabless_compute,Compute / AI / Logic Chips,Core China compute localization proxy.,"Localization demand, ecosystem maturity, export restrictions","Datacenter revenue, accelerator ASP, HBM/CoWoS allocation, software/networking attach, cloud capex, product cadence, gross margin by platform.","Hyperscaler capex revisions, AI server lead times, HBM supply contracts, TSMC advanced-node mix, ODM backlog, accelerator benchmark adoption.","AI value-chain source packs, rack-level BOM bridge, bottleneck monitor and first-pass model drivers.",IR filings; last 8 quarters earnings materials; transcript/Q&A; segment/geography split; CIQ market data refresh; latest sell-side debate notes if available
Wave 1 - AI infrastructure spine,688256.SS,Cambricon Technologies,SSE STAR,China,Asia,fabless_compute,Compute / AI / Logic Chips,High-beta China AI semiconductor proxy.,"Software ecosystem, customer adoption, supply constraints, valuation","Datacenter revenue, accelerator ASP, HBM/CoWoS allocation, software/networking attach, cloud capex, product cadence, gross margin by platform.","Hyperscaler capex revisions, AI server lead times, HBM supply contracts, TSMC advanced-node mix, ODM backlog, accelerator benchmark adoption.","AI value-chain source packs, rack-level BOM bridge, bottleneck monitor and first-pass model drivers.",IR filings; last 8 quarters earnings materials; transcript/Q&A; segment/geography split; CIQ market data refresh; latest sell-side debate notes if available
Wave 1 - AI infrastructure spine,688047.SS,Loongson Technology,SSE STAR,China,Asia,fabless_compute,Compute / AI / Logic Chips,China CPU localization lens.,"Government demand, ecosystem, performance gap","Datacenter revenue, accelerator ASP, HBM/CoWoS allocation, software/networking attach, cloud capex, product cadence, gross margin by platform.","Hyperscaler capex revisions, AI server lead times, HBM supply contracts, TSMC advanced-node mix, ODM backlog, accelerator benchmark adoption.","AI value-chain source packs, rack-level BOM bridge, bottleneck monitor and first-pass model drivers.",IR filings; last 8 quarters earnings materials; transcript/Q&A; segment/geography split; CIQ market data refresh; latest sell-side debate notes if available
Wave 3 - Cyclical recovery and edge/auto/device beta,603501.SS,Will Semiconductor,SSE,China,Asia,mobile_rf_connectivity,Mobile / RF / Connectivity,Core China image sensor name.,"Smartphone/auto CIS, inventory, high-end CIS competition","Handset units, premium mix, content per device, Android channel inventory, Apple content share, auto/IoT diversification, RF module integration.","Smartphone sell-through, Taiwan fabless monthly revenue, China Android launch calendar, Apple build plans, distributor inventory, panel shipments.","Inventory-cycle dashboard, auto/industrial recovery tracker and handset/consumer sell-through bridge.",IR filings; last 8 quarters earnings materials; transcript/Q&A; segment/geography split; CIQ market data refresh; latest sell-side debate notes if available
Wave 1 - AI infrastructure spine,603986.SS,GigaDevice Semiconductor,SSE,China,Asia,memory_storage,Memory / Storage Semiconductors,Core China memory/MCU company.,"NOR cycle, MCU competition, localization demand","DRAM/NAND ASP, bit shipments, capex, inventory days, HBM qualification, enterprise SSD contract mix, storage nearline demand.","Spot/contract memory pricing, memory capex plans, HBM supply agreements, hyperscaler storage orders, China smartphone/PC demand, module channel inventory.","AI value-chain source packs, rack-level BOM bridge, bottleneck monitor and first-pass model drivers.",IR filings; last 8 quarters earnings materials; transcript/Q&A; segment/geography split; CIQ market data refresh; latest sell-side debate notes if available
Wave 3 - Cyclical recovery and edge/auto/device beta,300782.SZ,Maxscend Microelectronics,SZSE,China,Asia,mobile_rf_connectivity,Mobile / RF / Connectivity,China RF localization leader.,"RF module integration, Android cycle, domestic share gains","Handset units, premium mix, content per device, Android channel inventory, Apple content share, auto/IoT diversification, RF module integration.","Smartphone sell-through, Taiwan fabless monthly revenue, China Android launch calendar, Apple build plans, distributor inventory, panel shipments.","Inventory-cycle dashboard, auto/industrial recovery tracker and handset/consumer sell-through bridge.",IR filings; last 8 quarters earnings materials; transcript/Q&A; segment/geography split; CIQ market data refresh; latest sell-side debate notes if available
Wave 3 - Cyclical recovery and edge/auto/device beta,300661.SZ,SG Micro,SZSE,China,Asia,analog_power,Analog / Power / Mixed Signal,Core China analog leader.,"Industrial/auto design-ins, margin vs competition","Industrial/auto inventory, channel sell-through, book-to-bill, utilization, pricing, SiC capacity, AI server power content.","Distributor inventory days, auto production schedules, industrial PMI, EV inverter demand, data-center power density, lead times.","Inventory-cycle dashboard, auto/industrial recovery tracker and handset/consumer sell-through bridge.",IR filings; last 8 quarters earnings materials; transcript/Q&A; segment/geography split; CIQ market data refresh; latest sell-side debate notes if available
Wave 3 - Cyclical recovery and edge/auto/device beta,603290.SS,StarPower Semiconductor,SSE,China,Asia,analog_power,Analog / Power / Mixed Signal,Core China EV power semiconductor proxy.,"EV pricing, SiC ramp, domestic competition","Industrial/auto inventory, channel sell-through, book-to-bill, utilization, pricing, SiC capacity, AI server power content.","Distributor inventory days, auto production schedules, industrial PMI, EV inverter demand, data-center power density, lead times.","Inventory-cycle dashboard, auto/industrial recovery tracker and handset/consumer sell-through bridge.",IR filings; last 8 quarters earnings materials; transcript/Q&A; segment/geography split; CIQ market data refresh; latest sell-side debate notes if available
Wave 1 - AI infrastructure spine,TSM / 2330.TW,TSMC,NYSE / TWSE,Taiwan,Asia,foundry_idm,Foundry / IDM Manufacturing,Anchor for advanced semiconductor manufacturing.,"AI/HPC demand, advanced-node pricing, CoWoS capacity, geopolitics","Utilization, wafer ASP, node mix, depreciation, capex, customer concentration, geographic capacity, subsidies, advanced packaging attach.","Foundry monthly revenue, smartphone/PC sell-through, cloud ASIC tape-outs, WFE orders, fab utilization, node migration schedules.","AI value-chain source packs, rack-level BOM bridge, bottleneck monitor and first-pass model drivers.",IR filings; last 8 quarters earnings materials; transcript/Q&A; segment/geography split; CIQ market data refresh; latest sell-side debate notes if available
Wave 1 - AI infrastructure spine,2303.TW / UMC,United Microelectronics,TWSE / NYSE,Taiwan,Asia,foundry_idm,Foundry / IDM Manufacturing,Core mature-node foundry proxy.,"Utilization recovery, pricing, China competition","Utilization, wafer ASP, node mix, depreciation, capex, customer concentration, geographic capacity, subsidies, advanced packaging attach.","Foundry monthly revenue, smartphone/PC sell-through, cloud ASIC tape-outs, WFE orders, fab utilization, node migration schedules.","AI value-chain source packs, rack-level BOM bridge, bottleneck monitor and first-pass model drivers.",IR filings; last 8 quarters earnings materials; transcript/Q&A; segment/geography split; CIQ market data refresh; latest sell-side debate notes if available
Wave 1 - AI infrastructure spine,0981.HK / 688981.SS,SMIC,HKEX / SSE STAR,China,Asia,foundry_idm,Foundry / IDM Manufacturing,Core China foundry exposure.,"Localization demand, utilization, export controls, capex","Utilization, wafer ASP, node mix, depreciation, capex, customer concentration, geographic capacity, subsidies, advanced packaging attach.","Foundry monthly revenue, smartphone/PC sell-through, cloud ASIC tape-outs, WFE orders, fab utilization, node migration schedules.","AI value-chain source packs, rack-level BOM bridge, bottleneck monitor and first-pass model drivers.",IR filings; last 8 quarters earnings materials; transcript/Q&A; segment/geography split; CIQ market data refresh; latest sell-side debate notes if available
